Date,Close
2023/11/22,3544.42
2023/11/23,3561.52
2023/11/24,3538.01
2023/11/27,3511.94
2023/11/28,3518.52
2023/11/29,3488.31
2023/11/30,3496.20
2023/12/1,3482.88
2023/12/4,3460.14
2023/12/5,3394.26
2023/12/6,3399.60
2023/12/7,3391.28
2023/12/8,3399.46
2023/12/11,3419.45
2023/12/12,3426.80
2023/12/13,3369.60
2023/12/14,3351.96
2023/12/15,3341.55
2023/12/18,3329.37
2023/12/19,3334.04
2023/12/20,3297.50
2023/12/21,3330.87
2023/12/22,3337.23
2023/12/25,3347.45
2023/12/26,3324.79
2023/12/27,3336.36
2023/12/28,3414.54
2023/12/29,3431.11
2024/1/2,3386.35
2024/1/3,3378.30
2024/1/4,3347.05
2024/1/5,3329.11
2024/1/8,3286.06
2024/1/9,3292.50
2024/1/10,3277.13
2024/1/11,3295.67
2024/1/12,3284.17
2024/1/15,3280.92
2024/1/16,3300.88
2024/1/17,3229.08
2024/1/18,3274.73
2024/1/19,3269.78
2024/1/22,3218.90
2024/1/23,3231.93
2024/1/24,3277.11
2024/1/25,3342.92
2024/1/26,3333.82
2024/1/29,3303.96
2024/1/30,3245.04
2024/1/31,3215.35
2024/2/1,3217.71
2024/2/2,3179.63
2024/2/5,3200.42
2024/2/6,3311.69
2024/2/7,3343.63
2024/2/8,3364.93
2024/2/19,3403.81
2024/2/20,3410.85
2024/2/21,3456.87
2024/2/22,3486.67
2024/2/23,3489.74
2024/2/26,3453.36
2024/2/27,3494.79
2024/2/28,3450.26
2024/2/29,3516.08
2024/3/1,3537.80
2024/3/4,3540.87
2024/3/5,3565.51
2024/3/6,3551.05
2024/3/7,3529.72
2024/3/8,3544.91
2024/3/11,3589.26
2024/3/12,3597.49
2024/3/13,3572.36
2024/3/14,3562.22
2024/3/15,3569.99
2024/3/18,3603.53
2024/3/19,3577.63
2024/3/20,3585.38
2024/3/21,3581.09
2024/3/22,3545.00
2024/3/25,3525.76
2024/3/26,3543.75
2024/3/27,3502.79
2024/3/28,3520.96
2024/3/29,3537.48
2024/4/1,3595.65
2024/4/2,3580.68
2024/4/3,3567.80
2024/4/8,3536.41
2024/4/9,3533.49
2024/4/10,3504.71
2024/4/11,3504.24
2024/4/12,3475.84
2024/4/15,3549.08
2024/4/16,3511.11
